Sprint,Bug ID,Bug Title,Who found,Platform,Functionality,How many times reproduced,Root Cause,Status,Priorities,Severity,Created Date,Changed Date,Time for solve
231,8453,"""?"" missed after the confirmation of certain application untrack",QA,"AT Portal(prod), AT Portal(dev)",UM,1,wording symbol missed,Closed,1 - Critical,3 - Medium,25.05.2023,30.05.2023,5
231,8454,Pivot Table creation is going to loop in the Updates page.,Customer(Internal),"AT Portal(prod), AT Portal(dev)",UM,1,QA fault.,Closed,3 - Medium,3 - Medium,25.05.2023,30.05.2023,5
231,8459,Add -i switch for PsExec arguments in OPS Agent,Customer(Internal),"AT Portal(prod), AT Portal(dev)",Autopackaging Testing,1,,Closed,3 - Medium,3 - Medium,26.05.2023,03.07.2023,38
231,8464,Updates page. Care enabled by default for application with disabled Autopackaging,QA,"AT Portal(prod), AT Portal(dev)",UM,1,,Closed,3 - Medium,3 - Medium,26.05.2023,03.07.2023,38
-,8470,Zip template file isn`t uploaded to Packaging Wrapper,QA,"OPS(dev), OPS(prod)",Wrapper Generator,1,,To Do,2 - High,2 - High,29.05.2023,29.05.2023,0
-,8475,Set Demo SCCM settings not working,QA,"AT Portal(prod), AT Portal(dev)",SCCM,1,,Closed,3 - Medium,3 - Medium,30.05.2023,01.06.2023,2
-,8478,Duplicate issue was created,Developer,"AT Portal(prod), AT Portal(dev)",JIRA,1,,To Do,3 - Medium,3 - Medium,30.05.2023,03.07.2023,34
231,8479,Autopackager notifies UM team for non-existing UMid,Customer(Internal),"OPS(dev), OPS(prod)",Autopackaging Notifications,1,,Closed,3 - Medium,3 - Medium,30.05.2023,03.07.2023,34
232,8481,AT Portal SCCM push. 500 error while trying to push app without package,QA,"AT Portal(prod), AT Portal(dev)",SCCM push,1,,Closed,3 - Medium,3 - Medium,30.05.2023,08.07.2023,39
-,8484,Default discovery document field buttons are out of the modal window if the name of the discovery documentation is very long,QA,"AT Portal(prod), AT Portal(dev)",Updates,1,,To Do,2 - High,2 - High,31.05.2023,31.05.2023,0
231,8485,The Package are not available for this version label is not displayed on the Versions page,QA,"AT Portal(prod), AT Portal(dev)",UM,1,,Closed,2 - High,2 - High,31.05.2023,14.06.2023,14
232,8494,OPS: fix memory leak in adding sources to package,Developer,"OPS(dev), OPS(prod)",Autopackaging 'Packaging' step,1,,Closed,3 - Medium,2 - High,01.06.2023,06.06.2023,5
234,8497,OPS: fix incorrect 'skipFirstLevel' logic in 'AutoPackagingTemplateService.AddSourcesToPackage',Developer,"OPS(dev), OPS(prod)",Autopackaging,1,uncertainty and a bug in the logic of copying files from the application source archive to the resulted package archive,Closed,2 - High,2 - High,02.06.2023,12.07.2023,40
232,8503,QC: unable to validate package because of no space on the disk,Developer,"OPS(dev), OPS(prod)",QC,1,temporary AssistedDatabase for the MST is not deleted after the processing because the 'PackageInfo.Dispose' method does not call the 'RemoveTransform()' for each dataContext AssistedDatabase.,Closed,2 - High,3 - Medium,02.06.2023,19.06.2023,17
235,8518,VirusCheck Service reports incorrect error while processing big files,Managment,"AT Portal(prod), AT Portal(dev)",AV file check,1,ClaimID limits,Closed,3 - Medium,3 - Medium,08.06.2023,12.08.2023,65
232,8519,AT Portal Intune. Push with several detection scripts will lead to 500 error,QA,"AT Portal(prod), AT Portal(dev)",IntunePush,1,QA fault.,Closed,3 - Medium,3 - Medium,08.06.2023,14.06.2023,6
232,8532,The empty space of the Main Content has a black color if the Side Menu has a huge number of projects,QA,"AT Portal(prod), AT Portal(dev)",AT Portal,1,Developers mistake during separation loading of main content and menu,Closed,3 - Medium,3 - Medium,13.06.2023,14.06.2023,1
233,8548,QC: EDEKA prefix conflicts with Cost center,Developer,"OPS(dev), OPS(prod)",QC,1,"Because of packageRootSubstring.StartsWith(vm.ProjectPathPrefix"") and prefix is not added",Closed,3 - Medium,3 - Medium,15.06.2023,21.07.2023,36
233,8549,SCCM Connector: Push as Package 500 error,Customer(Internal),"AT Portal(prod), AT Portal(dev)",SCCM push,1,,Closed,3 - Medium,3 - Medium,15.06.2023,15.07.2023,30
-,8553,"The ""?"" symbol isn`t displayed on the confirmation modal window of Updates page",QA,"AT Portal(prod), AT Portal(dev)",Updates,1,,To Do,3 - Medium,3 - Medium,16.06.2023,16.06.2023,0
233,8555,SCCM Connector: Push as Package Deployment fail,Customer(Internal),"AT Portal(prod), AT Portal(dev)",SCCM push,1,,Closed,3 - Medium,3 - Medium,16.06.2023,21.07.2023,35
-,8561,OPS: Reanimate parameters placeholders,Developer,"OPS(dev), OPS(prod)",Autopackaging,1,,To Do,2 - High,3 - Medium,16.06.2023,22.06.2023,6
235,8562,Care. Can not disable Care notifications,Managment,"AT Portal(prod), AT Portal(dev)",Notifications,1,,Closed,2 - High,3 - Medium,17.06.2023,09.08.2023,53
-,8589,OPS: sometimes connection to SDC fails,Developer,"OPS(dev), OPS(prod)",Autopackaging,1,,To Do,3 - Medium,3 - Medium,22.06.2023,23.06.2023,1
-,8601,AT Portal. Big Filesize logo is not uploaded,QA,"AT Portal(prod), AT Portal(dev)",Avatar,1,,To Do,2 - High,3 - Medium,26.06.2023,30.06.2023,4
235,8613,"Custom fields, Select type, display vs. value - Disco/Testing document",Managment,"AT Portal(prod), AT Portal(dev)",Custom fields,1,,Closed,2 - High,3 - Medium,28.06.2023,12.08.2023,45
-,8614,AT: Available tips for custom fields on Import step,Developer,"AT Portal(prod), AT Portal(dev)",Custom fields,1,,Closed,3 - Medium,3 - Medium,28.06.2023,23.08.2023,56
-,8616,An error occurred while creating Disco Document file if the Document file name pattern consist of custom fields with long length value,QA,"AT Portal(prod), AT Portal(dev)",Discovery SS,1,,To Do,3 - Medium,3 - Medium,29.06.2023,29.06.2023,0
